	01. Ring of Fortune.mp3		Ring of Fortune		佐々木恵梨		320000		4:20		10		4.33937375		D:\williamlun\TSDM專輯\01. Ring of Fortune.mp3	
	01. Scarlet Faith.mp3		Scarlet Faith		仲村芽衣子		320000		4:21		10		4.3437275		D:\williamlun\TSDM專輯\(C85)(同人音楽)[gift] Scarlet Faith (320K)\MP3\01. Scarlet Faith.mp3	
	02. white recollection.mp3		white recollection		仲村芽衣子		320000		5:31		13		5.52315583333333		D:\williamlun\TSDM專輯\(C85)(同人音楽)[gift] Scarlet Faith (320K)\MP3\02. white recollection.mp3	
	03. Moon Tiare.mp3		Moon Tiare		仲村芽衣子		320000		5:15		12		5.24190416666667		D:\williamlun\TSDM專輯\(C85)(同人音楽)[gift] Scarlet Faith (320K)\MP3\03. Moon Tiare.mp3	
	04. Scarlet Faith (Original Karaoke).mp3		Scarlet Faith (Original Karaoke)		--		320000		4:21		10		4.3437275		D:\williamlun\TSDM專輯\(C85)(同人音楽)[gift] Scarlet Faith (320K)\MP3\04. Scarlet Faith (Original Karaoke).mp3	
	05. white recollection (Original Karaoke).mp3		white recollection (Original Karaoke)		--		320000		5:31		13		5.52315583333333		D:\williamlun\TSDM專輯\(C85)(同人音楽)[gift] Scarlet Faith (320K)\MP3\05. white recollection (Original Karaoke).mp3	
	06. Moon Tiare (Original Karaoke).mp3		Moon Tiare (Original Karaoke)		--		320000		5:13		12		5.20881583333333		D:\williamlun\TSDM專輯\(C85)(同人音楽)[gift] Scarlet Faith (320K)\MP3\06. Moon Tiare (Original Karaoke).mp3	
	01. 回レ！雪月花.mp3		隙伊ㄐ悕堎豪		貉郪 悕堎豪		320000		3:55		9		3.9124		D:\williamlun\TSDM專輯\03. 回レ！雪月花 (Remix Ver.)\01. 回レ！雪月花.mp3	
	02. 夢見サンライズ.mp3		?扔件仿奶朮		貉郪 悕堎豪		320000		5:2		12		5.0316		D:\williamlun\TSDM專輯\03. 回レ！雪月花 (Remix Ver.)\02. 夢見サンライズ.mp3	
	03. 回レ！雪月花 (Remix Ver.).mp3		隙伊ㄐ悕堎豪 (Remix Ver.)		貉郪 悕堎豪		320000		5:20		12		5.334		D:\williamlun\TSDM專輯\03. 回レ！雪月花 (Remix Ver.)\03. 回レ！雪月花 (Remix Ver.).mp3	
	04. 回レ！雪月花 (Off Vocal).mp3		隙伊ㄐ悕堎豪 (Off Vocal)		貉郪 悕堎豪		320000		3:55		9		3.91		D:\williamlun\TSDM專輯\03. 回レ！雪月花 (Remix Ver.)\04. 回レ！雪月花 (Off Vocal).mp3	
	05. 夢見サンライズ (Off Vocal).mp3		?扔件仿奶朮 (Off Vocal)		貉郪 悕堎豪		320000		5:2		12		5.0316		D:\williamlun\TSDM專輯\03. 回レ！雪月花 (Remix Ver.)\05. 夢見サンライズ (Off Vocal).mp3	
	(01)black bullet.mp3		black bullet		fripSide		320000		4:22		10		4.35940083333333		D:\williamlun\TSDM專輯\blackbullet\(01)black bullet.mp3	
	(02)pico scope -SACLA-.mp3		pico scope -SACLA-		fripSide		320000		3:20		8		3.33627208333333		D:\williamlun\TSDM專輯\blackbullet\(02)pico scope -SACLA-.mp3	
	(03)black bullet (インストゥルメンタル).mp3		black bullet (インストゥルメンタル)		(インストゥルメンタル)		320000		4:21		10		4.35722458333333		D:\williamlun\TSDM專輯\blackbullet\(03)black bullet (インストゥルメンタル).mp3	
	(04)pico scope -SACLA- (インストゥルメンタル).mp3		pico scope -SACLA- (インストゥルメンタル)		(インストゥルメンタル)		320000		3:20		8		3.33801375		D:\williamlun\TSDM專輯\blackbullet\(04)pico scope -SACLA- (インストゥルメンタル).mp3	
	01 chAngE.mp3		chAngE		miwa		320000		4:10		9		4.16304791666667		D:\williamlun\TSDM專輯\miwa - chAngE\01 chAngE.mp3	
	02 you can do it!.mp3		you can do it!		miwa		320000		3:59		9		3.98106125		D:\williamlun\TSDM專輯\miwa - chAngE\02 you can do it!.mp3	
	03 丐引支升曰.mp3		あまやどり		miwa		320000		4:5		9		4.08206833333333		D:\williamlun\TSDM專輯\miwa - chAngE\03 丐引支升曰.mp3	
	04 chAngE -instrumental-.mp3		chAngE -instrumental-		miwa		320000		4:8		9		4.12691166666667		D:\williamlun\TSDM專輯\miwa - chAngE\04 chAngE -instrumental-.mp3	
	01 βios.mp3		汕ios		珧精眳		320000		4:34		10		4.56302666666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\01 βios.mp3	
	02 α.mp3		汐		珧精眳		320000		5:48		13		5.79905291666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\02 α.mp3	
	03 Ω.mp3		次		珧精眳		320000		4:31		10		4.52210041666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\03 Ω.mp3	
	04 Ready to Go.mp3		Ready to Go		珧精眳		320000		4:16		10		4.26784541666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\04 Ready to Go.mp3	
	05 friends.mp3		friends		珧精眳		320000		3:49		9		3.80983041666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\05 friends.mp3	
	06 VOiD.mp3		VOiD		珧精眳		320000		2:7		5		2.11187		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\06 VOiD.mp3	
	07 gエ19.mp3		g巨19		珧精眳		320000		2:20		5		2.33260541666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\07 gエ19.mp3	
	08 θεοι.mp3		牟汍羊牝		珧精眳		320000		3:38		8		3.63263333333333		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\08 θεοι.mp3	
	09 close your eyes.mp3		close your eyes		珧精眳		320000		3:51		9		3.85641875		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\09 close your eyes.mp3	
	10 Βασιλευζ.mp3		弛汐考牝竹汍耒汎		珧精眳		320000		4:18		10		4.2931		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\10 Βασιλευζ.mp3	
	11 π.mp3		羽		珧精眳		320000		3:59		9		3.98136666666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\11 π.mp3	
	12 Release My Soul.mp3		Release My Soul		珧精眳		320000		4:35		10		4.57522208333333		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\12 Release My Soul.mp3	
	13 κrOnё.mp3		百rOn忸		珧精眳		320000		5:34		13		5.55916458333333		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\13 κrOnё.mp3	
	14 Hill Of Sorrow.mp3		Hill Of Sorrow		珧精眳		320000		4:11		10		4.19078625		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\14 Hill Of Sorrow.mp3	
	15 Αποκσλυψιζ.mp3		式羽羊百考竹耒肉牝汎		珧精眳		320000		4:51		11		4.84994541666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\15 Αποκσλυψιζ.mp3	
	16 Home ~in this corner~.mp3		Home ~in this corner~		珧精眳		320000		3:48		9		3.80722458333333		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\16 Home ~in this corner~.mp3	
	17 Genesi§.mp3		Genesi∫		珧精眳		320000		3:17		7		3.29043		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\17 Genesi§.mp3	
	18 βιοζ-δ.mp3		汕牝羊汎-汛		珧精眳		320000		2:36		6		2.59383291666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\18 βιοζ-δ.mp3	
	19 Rё∀L .mp3		R忸?L		珧精眳		320000		4:12		10		4.20689291666667		D:\williamlun\TSDM專輯\TV anime ギルティクラウン(Guilty Crown) オリジナルサウンドトラック-OST\19 Rё∀L .mp3	
	01.ətæk 0N tάɪtn (Vocal MIKA KOBAYASHI).mp3		ət'æk 0N tάɪtn (Vocal: MIKA KOBAYASHI)		Hiroyuki Sawano		320000		4:17		10		4.2832		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\01.ətæk 0N tάɪtn (Vocal MIKA KOBAYASHI).mp3	
	02.The Reluctant Heroes (Vocal mpi).mp3		The Reluctant Heroes (Vocal mpi)		Hiroyuki Sawano		320000		4:27		10		4.4532		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\02.The Reluctant Heroes (Vocal mpi).mp3	
	03.eye-water.mp3		eye-water		Hiroyuki Sawano		320000		3:1		7		3.0248		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\03.eye-water.mp3	
	04.立body機motion.mp3		立body機motion		Hiroyuki Sawano		320000		5:43		13		5.7132		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\04.立body機motion.mp3	
	05.cóunter・attàck-mænkάɪnd.mp3		cóunter・attàck-m'ænkάɪnd		Hiroyuki Sawano		320000		6:7		14		6.1108		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\05.cóunter・attàck-mænkάɪnd.mp3	
	06.army⇒G♂.mp3		army⇒G♂		Hiroyuki Sawano		320000		3:27		8		3.442		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\06.army⇒G♂.mp3	
	07.Vogel im Käfig (Vocal Cyua).mp3		Vogel im Käfig (Vocal Cyua)		Hiroyuki Sawano		320000		6:20		15		6.3356		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\07.Vogel im Käfig (Vocal Cyua).mp3	
	08.DOA (Vocal AIMEE BLACKSCHLEGER).mp3		DOA (Vocal AIMEE BLACKSCHLEGER)		Hiroyuki Sawano		320000		3:26		8		3.4348		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\08.DOA (Vocal AIMEE BLACKSCHLEGER).mp3	
	09.凸】♀】♂】←巨人.mp3		凸】♀】♂】←巨人		Hiroyuki Sawano		320000		4:21		10		4.3576		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\09.凸】♀】♂】←巨人.mp3	
	10.E・M・A.mp3		E・M・A		Hiroyuki Sawano		320000		5:43		13		5.716		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\10.E・M・A.mp3	
	11.巨♀〜9地区.mp3		巨♀〜9地区		Hiroyuki Sawano		320000		5:15		12		5.2572		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\11.巨♀〜9地区.mp3	
	12.Bauklötze (Vocal MIKA KOBAYASHI).mp3		Bauklötze (Vocal MIKA KOBAYASHI)		Hiroyuki Sawano		320000		3:56		9		3.9388		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\12.Bauklötze (Vocal MIKA KOBAYASHI).mp3	
	13.2chi城.mp3		2chi城		Hiroyuki Sawano		320000		6:48		16		6.794		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\13.2chi城.mp3	
	14.XL-TT.mp3		XL-TT		Hiroyuki Sawano		320000		6:38		15		6.6252		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\14.XL-TT.mp3	
	15.Call your name (Vocal mpi & CASG ).mp3		Call your name (Vocal mpi & CASG )		Hiroyuki Sawano		320000		4:28		10		4.4736		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\15.Call your name (Vocal mpi & CASG ).mp3	
	16.omake-pfadlib.mp3		omake-pfadlib		Hiroyuki Sawano		320000		3:32		8		3.5268		D:\williamlun\TSDM專輯\TVアニメ「進撃の巨人 (Attack on Titan)」オリジナルサウンドトラック(OST) (320K)\16.omake-pfadlib.mp3	
	01. Rising Hope.mp3		Rising Hope		LiSA		320000		4:11		10		4.18525125		D:\williamlun\TSDM專輯\TVアニメ「魔法科高校の劣等生」OPテーマ「Rising Hope」／LiSA [アニメ盤] (320K+BK)\MP3\01. Rising Hope.mp3	
	02. ポーカーフェイス.mp3		ポーカーフェイス		LiSA		320000		3:52		9		3.86481583333333		D:\williamlun\TSDM專輯\TVアニメ「魔法科高校の劣等生」OPテーマ「Rising Hope」／LiSA [アニメ盤] (320K+BK)\MP3\02. ポーカーフェイス.mp3	
	03. 雨上がりの空とキミ.mp3		雨上がりの空とキミ		LiSA		320000		4:9		10		4.15608125		D:\williamlun\TSDM專輯\TVアニメ「魔法科高校の劣等生」OPテーマ「Rising Hope」／LiSA [アニメ盤] (320K+BK)\MP3\03. 雨上がりの空とキミ.mp3	
	04. Rising Hope -TV Ver.-.mp3		Rising Hope -TV Ver.-		LiSA		320000		1:35		3		1.58389041666667		D:\williamlun\TSDM專輯\TVアニメ「魔法科高校の劣等生」OPテーマ「Rising Hope」／LiSA [アニメ盤] (320K+BK)\MP3\04. Rising Hope -TV Ver.-.mp3	
	(01)sister’s noise.mp3		sister’s noise		fripside		320000		4:20		10		4.33153708333333		D:\williamlun\TSDM專輯\TVアニメ『とある科学の超電磁砲S』OP主題歌「sister's noise」／fripside\(01)sister’s noise.mp3	
	(02)I’m believing you.mp3		I’m believing you		fripside		320000		5:43		13		5.724735		D:\williamlun\TSDM專輯\TVアニメ『とある科学の超電磁砲S』OP主題歌「sister's noise」／fripside\(02)I’m believing you.mp3	
	(03)sister’s noise (instrumental).mp3		sister’s noise (instrumental)		fripside		320000		4:20		10		4.32892541666667		D:\williamlun\TSDM專輯\TVアニメ『とある科学の超電磁砲S』OP主題歌「sister's noise」／fripside\(03)sister’s noise (instrumental).mp3	
	(04)I’m believing you(instrumental).mp3		I’m believing you (instrumental)		fripside		320000		5:44		13		5.72560541666667		D:\williamlun\TSDM專輯\TVアニメ『とある科学の超電磁砲S』OP主題歌「sister's noise」／fripside\(04)I’m believing you(instrumental).mp3	
	(01)海色.mp3		海色		AKINO from bless4		320000		4:14		10		4.24097916666667		D:\williamlun\TSDM專輯\VTCL-35202(MP3)\(01)海色.mp3	
	(02)Just Moving On Now.mp3		Just Moving On Now		AKINO from bless4		320000		3:47		9		3.79080291666667		D:\williamlun\TSDM專輯\VTCL-35202(MP3)\(02)Just Moving On Now.mp3	
	(03)海色(Instrumental ver.).mp3		海色(Instrumental ver.)		(Instrumental ver.)		320000		4:14		10		4.241415		D:\williamlun\TSDM專輯\VTCL-35202(MP3)\(03)海色(Instrumental ver.).mp3	
	(04)Just Moving On Now(Instrumental ver.).mp3		Just Moving On Now(Instrumental ver.)		(Instrumental ver.)		320000		3:48		9		3.79994583333333		D:\williamlun\TSDM專輯\VTCL-35202(MP3)\(04)Just Moving On Now(Instrumental ver.).mp3	
	01. BAAD - 君が好きだと叫びたい.mp3		君が好きだと叫びたい		BAAD		320000		3:48		9		3.80734666666667		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\01. BAAD - 君が好きだと叫びたい.mp3	
	02. 大黑摩季 - あなただけ見つめてる.mp3		あなただけ見つめてる		大黑摩季		320000		4:44		11		4.72903375		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\02. 大黑摩季 - あなただけ見つめてる.mp3	
	03. WANDS - 世界が終わるまでは….mp3		世界が終わるまでは…		WANDS		320000		5:16		12		5.26410875		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\03. WANDS - 世界が終わるまでは….mp3	
	04. MANISH - 煌めく瞬間に捕われて.mp3		煌めく瞬間に捕われて		MANISH		320000		4:27		10		4.44647583333333		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\04. MANISH - 煌めく瞬間に捕われて.mp3	
	05. ZYYG - ぜったいに 誰も.mp3		ぜったいに 誰も		ZYYG		320000		3:23		8		3.38068		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\05. ZYYG - ぜったいに 誰も.mp3	
	06 .ZARD - マイ フレンド.mp3		マイ フレンド		ZARD		320000		4:23		10		4.38117		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\06 .ZARD - マイ フレンド.mp3	
	07. BAAD - ＥＮＤＬＥＳＳ　ＣＨＡＩＮ　～Ｃｉｎｅ　Ｖｅｒｓｉｏｎ～.mp3		ＥＮＤＬＥＳＳ　ＣＨＡＩＮ　～Ｃｉｎｅ　Ｖｅｒｓｉｏｎ～		BAAD		320000		1:53		4		1.87951		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\07. BAAD - ＥＮＤＬＥＳＳ　ＣＨＡＩＮ　～Ｃｉｎｅ　Ｖｅｒｓｉｏｎ～.mp3	
	08. MANISH - 煌めく瞬間に捕われて　～Ｃｉｎｅ　Ｖｅｒｓｉｏｎ～.mp3		煌めく瞬間に捕われて　～Ｃｉｎｅ　Ｖｅｒｓｉｏｎ～		MANISH		320000		2:30		6		2.49295208333333		D:\williamlun\TSDM專輯\[030721][灌篮高手]THE BEST OF TV ANIMATION SLAM DUNK ~Single Collection~[320K]\08. MANISH - 煌めく瞬間に捕われて　～Ｃｉｎｅ　Ｖｅｒｓｉｏｎ～.mp3	
	01. ツキアカリのミチシルベ.mp3		ツキアカリのミチシルベ		ステレオポニー		320000		3:58		9		3.96504625		D:\williamlun\TSDM專輯\[091104] DARKER THAN BLACK 流星の双子 OP「ツキアカリのミチシルベ」／ステレオポニー [320K+BK]\01. ツキアカリのミチシルベ.mp3	
	02. 橙色.mp3		橙色		ステレオポニー		320000		3:29		8		3.48699416666667		D:\williamlun\TSDM專輯\[091104] DARKER THAN BLACK 流星の双子 OP「ツキアカリのミチシルベ」／ステレオポニー [320K+BK]\02. 橙色.mp3	
	03. fuzz.mp3		fuzz		ステレオポニー		320000		2:13		5		2.21526541666667		D:\williamlun\TSDM專輯\[091104] DARKER THAN BLACK 流星の双子 OP「ツキアカリのミチシルベ」／ステレオポニー [320K+BK]\03. fuzz.mp3	
	04. ツキアカリのミチシルベ ～Instrumental～.mp3		ツキアカリのミチシルベ ～Instrumental～		--		320000		3:58		9		3.97017666666667		D:\williamlun\TSDM專輯\[091104] DARKER THAN BLACK 流星の双子 OP「ツキアカリのミチシルベ」／ステレオポニー [320K+BK]\04. ツキアカリのミチシルベ ～Instrumental～.mp3	
	05. ツキアカリのミチシルベ ～Opening Edition～.mp3		ツキアカリのミチシルベ ～Opening Edition～		ステレオポニー		320000		1:31		3		1.51041625		D:\williamlun\TSDM專輯\[091104] DARKER THAN BLACK 流星の双子 OP「ツキアカリのミチシルベ」／ステレオポニー [320K+BK]\05. ツキアカリのミチシルベ ～Opening Edition～.mp3	
	Celestial Diva （off vocal）.mp3		Celestial Diva （off vocal）		茅原実里		320000		5:6		12		5.09561833333333		D:\williamlun\TSDM專輯\[120321]iアプリゲーム『ケイオスリングス 2』主題歌「Celestial Diva」／茅原実里[320K+BK]\MP3\Celestial Diva （off vocal）.mp3	
	Celestial Diva.mp3		Celestial Diva		茅原実里		320000		5:6		12		5.10693833333333		D:\williamlun\TSDM專輯\[120321]iアプリゲーム『ケイオスリングス 2』主題歌「Celestial Diva」／茅原実里[320K+BK]\MP3\Celestial Diva.mp3	
	IDENTITY （off vocal）.mp3		IDENTITY （off vocal）		茅原実里		320000		5:20		12		5.33333291666667		D:\williamlun\TSDM專輯\[120321]iアプリゲーム『ケイオスリングス 2』主題歌「Celestial Diva」／茅原実里[320K+BK]\MP3\IDENTITY （off vocal）.mp3	
	IDENTITY.mp3		IDENTITY		茅原実里		320000		5:21		12		5.3446525		D:\williamlun\TSDM專輯\[120321]iアプリゲーム『ケイオスリングス 2』主題歌「Celestial Diva」／茅原実里[320K+BK]\MP3\IDENTITY.mp3	
	01. 優しさの理由.mp3		優理由		ChouCho		320000		4:15		10		4.25192791666667		D:\williamlun\TSDM專輯\[120502] TVアニメ 氷菓 OP「優しさの理由」[DVD付初回限定盤]／ChouCho (320K+BK)\01. 優しさの理由.mp3	
	02. 木漏れ日色の記憶.mp3		木漏日色記憶		ChouCho		320000		4:28		10		4.46482583333333		D:\williamlun\TSDM專輯\[120502] TVアニメ 氷菓 OP「優しさの理由」[DVD付初回限定盤]／ChouCho (320K+BK)\02. 木漏れ日色の記憶.mp3	
	03. 青空の鼓動.mp3		青空鼓動		ChouCho		320000		4:17		10		4.29024083333333		D:\williamlun\TSDM專輯\[120502] TVアニメ 氷菓 OP「優しさの理由」[DVD付初回限定盤]／ChouCho (320K+BK)\03. 青空の鼓動.mp3	
	04. 優しさの理由 (Off Vocal).mp3		優理由 (Off Vocal)		ChouCho		320000		4:14		10		4.24017291666667		D:\williamlun\TSDM專輯\[120502] TVアニメ 氷菓 OP「優しさの理由」[DVD付初回限定盤]／ChouCho (320K+BK)\04. 優しさの理由 (Off Vocal).mp3	
	05. 木漏れ日色の記憶 (Off Vocal).mp3		木漏日色記憶 (Off Vocal)		ChouCho		320000		4:28		10		4.46439041666667		D:\williamlun\TSDM專輯\[120502] TVアニメ 氷菓 OP「優しさの理由」[DVD付初回限定盤]／ChouCho (320K+BK)\05. 木漏れ日色の記憶 (Off Vocal).mp3	
	06. 青空の鼓動 (Off Vocal).mp3		青空鼓動 (Off Vocal)		ChouCho		320000		4:17		10		4.27892125		D:\williamlun\TSDM專輯\[120502] TVアニメ 氷菓 OP「優しさの理由」[DVD付初回限定盤]／ChouCho (320K+BK)\06. 青空の鼓動 (Off Vocal).mp3	
	01. 4SEASONs.mp3		4SEASONs		のみこ		320000		4:0		9		4.00108791666667		D:\williamlun\TSDM專輯\[120629][feng]『星空へ架かる橋AA』主題歌CD「4SEASONs／星空のいま」 - のみこ／相良心[320K+BK]\MP3\01. 4SEASONs.mp3	
	02. 4SEASONs short ver..mp3		4SEASONs short ver.		のみこ		320000		2:4		4		2.06715583333333		D:\williamlun\TSDM專輯\[120629][feng]『星空へ架かる橋AA』主題歌CD「4SEASONs／星空のいま」 - のみこ／相良心[320K+BK]\MP3\02. 4SEASONs short ver..mp3	
	03. 4SEASONs inst ver..mp3		4SEASONs inst ver.		feng		320000		4:0		9		4.00108791666667		D:\williamlun\TSDM專輯\[120629][feng]『星空へ架かる橋AA』主題歌CD「4SEASONs／星空のいま」 - のみこ／相良心[320K+BK]\MP3\03. 4SEASONs inst ver..mp3	
	04. 星空のいま.mp3		星空のいま		相良心		320000		3:58		9		3.97496541666667		D:\williamlun\TSDM專輯\[120629][feng]『星空へ架かる橋AA』主題歌CD「4SEASONs／星空のいま」 - のみこ／相良心[320K+BK]\MP3\04. 星空のいま.mp3	
	05. 星空のいま short ver..mp3		星空のいま short ver.		相良心		320000		1:45		4		1.74759125		D:\williamlun\TSDM專輯\[120629][feng]『星空へ架かる橋AA』主題歌CD「4SEASONs／星空のいま」 - のみこ／相良心[320K+BK]\MP3\05. 星空のいま short ver..mp3	
